DOY_disc,site,site_char,salinity,wtd,wtd_sd,nitrate,fpar,lue,evi,par
1,1,US_EDN,37.36291666666667,7.926484406,6.401252189415378,0.905,0,0.006,0.06725012766666666,194.69901096333334
1,2,US_SRR,3.740625,0.480358594,0,1.00440589575,0,0.009,0.38856392825,213.5534985
1,3,US_STJ,4.533333333333333,-0.4732047853333333,0.16988459737211534,1.233868116,0,0.019,0.11628332533333334,87.11666666666666
1,4,US_LA1,3.2575,-10.0965,NA,0.2,0,0.006567397,0.1174,103.2321884
2,1,US_EDN,37.37843750333334,7.168117821666668,3.2737101243232942,0.905,0,0.006,0.05662783766666667,193.81860132666665
2,2,US_SRR,3.72109375,0.338771915,0,1.0143603815,0,0.009,0.38716410725,200.571768
2,3,US_STJ,5.733333333333333,-0.462683952,0.16005301498936234,1.2808038646666666,0,0.019,0.11607104566666666,149.23472222333334
2,4,US_LA1,7.9575,-21.3487,NA,0.2,0,0.006567397,0.118925,111.8094266
3,1,US_EDN,37.40923611333333,10.5873125,3.6553056880546944,0.905,0,0.006,0.046005548,184.06171366333334
3,2,US_SRR,3.69453125025,0.412859147,0,1.02431486725,0,0.009,0.38576428549999997,168.74707413250002
3,3,US_STJ,8.6,-0.4345763133333333,0.20064936629380423,1.3277396136666666,0,0.019,0.115858766,111.23472223333333
3,4,US_LA1,8.909583333,-29.9847,NA,0.2,0,0.006567397,0.12045,120.3866648
4,1,US_EDN,37.45319444333333,7.181150000000001,8.29029048204698,0.905,0,0.006,0.03538325866666667,198.28499536666666
4,2,US_SRR,3.6208333332500002,-0.031562891,0,1.0342693535,0,0.009,0.3843644645,195.840985575
4,3,US_STJ,8.233333333333334,-0.34303117433333336,0.07386191589222908,1.3746753623333334,0,0.019,0.11564648633333334,89.74043457666666
4,4,US_LA1,7.010833333,-28.9814,NA,0.2,0,0.006567397,0.121975,128.963903
5,1,US_EDN,37.47631944333333,7.866574999999999,14.678716549656386,0.905,0,0.006,0.024760968666666668,186.80803866666665
5,2,US_SRR,3.45859375025,-2.090397391,0,1.04422383925,0,0.009,0.38296464275,190.0812099475
5,3,US_STJ,5.366666666666667,-0.4179443686666667,0.12160476392184286,1.3924357143333332,0,0.019,0.11543420666666666,126.20424135
5,4,US_LA1,3.571666667,-25.5016,NA,0.2,0,0.006567397,0.1235,137.5411412
6,1,US_EDN,37.527604170000004,9.1033625,13.447547558407258,0.905,0,0.006,0.014138679333333333,149.32873131333332
6,2,US_SRR,3.41640624975,-4.884327225,0,1.0541783252499999,0,0.009,0.38156482175,237.0538843
6,3,US_STJ,5.35,-0.464126031,0.19073252651815645,1.3779899473333332,0,0.019,0.115221927,152.40636576666668
6,4,US_LA1,2.125,-22.9235,NA,0.2,0,0.006567397,0.125025,146.1183794
7,1,US_EDN,37.5584375,7.303512499999999,9.641744891688758,0.905,0,0.006,0.0035163896666666663,213.1348497
7,2,US_SRR,3.36406249975,-8.066632259,0,1.06413281125,0,0.009,0.38016500000000003,176.7882177175
7,3,US_STJ,5.316666666666666,-0.362555404,0.14663507149451802,1.36354418,0,0.019,0.11500964733333334,111.12690972333334
7,4,US_LA1,6.8375,-17.9705,NA,0.2,0,0.006567397,0.12655,154.6956176
8,1,US_EDN,37.590868056666665,3.0476374999999996,10.57248142009629,0.905,0,0.006,-0.0028711300000000004,145.52708248666667
8,2,US_SRR,3.2393229165,-2.563197575,0,1.074087297,0,0.009,0.37937589275,173.5869559875
8,3,US_STJ,5.4,-0.32928963833333336,0.08901707520717096,1.3490984126666665,0,0.019,0.114797368,86.32934026666666
8,4,US_LA1,4.786666667,-14.7828,NA,0.2,0,0.006567397,0.128075,116.372804
9,1,US_EDN,37.62184028,5.3228,12.51630111752395,0.905,0,0.006,-0.0010797083333333333,201.58091643333333
9,2,US_SRR,2.9463541665,-0.130481001,0,1.0756168755,0,0.009,0.3785867855,186.9851055775
9,3,US_STJ,6.583333333333334,-0.37366523533333335,0.165877863827372,1.3346526453333334,0,0.019,0.114585088,168.3892361
9,4,US_LA1,5.059583333,-11.3538,NA,0.2,0,0.006567397,0.1296,65.19377296
10,1,US_EDN,37.64270833333334,10.57805,12.774739540538341,0.905,0,0.006,7.117136666666665e-4,237.14408686666667
10,2,US_SRR,2.71302083325,-3.865045028,0,1.077146454,0,0.009,0.37779767825,185.4124019025
10,3,US_STJ,7.033333333333333,-0.24822164300000002,0.051396811577919,1.3202068783333334,0,0.019,0.11286331433333333,133.84340276666666
10,4,US_LA1,8.084166667,-6.2865,NA,0.2,0,0.006567397,0.131125,54.89008825
11,1,US_EDN,37.69454861333333,6.575187499999999,15.350873280146802,0.905,0,0.006,0.0025031353333333332,198.0320198
11,2,US_SRR,2.5359375,-7.284256906,0,1.07867603275,0,0.009,0.37700857175,242.797140675
11,3,US_STJ,6.3,-0.3750173216666667,0.16821974605292486,1.305761111,0,0.019,0.10969365833333333,152.6399305333333
11,4,US_LA1,7.57625,-6.7945,NA,0.2,0,0.006567397,0.13265,18.39424786
12,1,US_EDN,37.72809028,5.821512499999999,16.979725543952963,0.905,0,0.006,0.004294556666666667,216.09472256666666
12,2,US_SRR,2.44322916675,-9.720064672,0,1.08020561125,0,0.009,0.3762194645,214.8358031
12,3,US_STJ,6.066666666666666,-0.326617904,0.0843894955975115,1.291315344,0,0.019,0.10652400266666667,188.0064236
12,4,US_LA1,5.887916667,-10.6426,NA,0.2,0,0.006567397,0.134175,18.200819
13,1,US_EDN,37.74489583,5.03688125,11.905594643139747,0.905,0,0.006,0.006085978666666667,221.3482355
13,2,US_SRR,2.46223958325,-11.32449411,0,1.08173519,0,0.009,0.37543035725,219.64401561
13,3,US_STJ,3.9333333333333336,-0.348180404,0.12173684113571541,1.2768695766666667,0,0.019,0.103354347,120.42443184
13,4,US_LA1,6.645,-23.1394,NA,0.2,0,0.006567397,0.1357,18.00739015
14,1,US_EDN,37.73857639,2.4782375000000005,11.244047769563181,0.905,0,0.006,0.007877400666666666,217.38097603333333
14,2,US_SRR,2.39062499975,-12.35852281,0,1.083264768,0,0.009,0.37464125000000004,216.9088356625
14,3,US_STJ,6.266666666666667,-0.32918734833333335,0.08883990373006477,1.2624238096666667,0,0.019,0.10018469099999999,165.94397096666665
14,4,US_LA1,7.140833333,-30.9753,NA,0.2,0,0.006567397,0.137225,17.81396129
15,1,US_EDN,37.729930556666666,2.0092625,9.740565588918912,0.905,0,0.006,0.009668822333333334,159.40686664333333
15,2,US_SRR,2.3427083335,-11.92205678,0,1.0847943467499999,0,0.009,0.37385214275,233.9731757225
15,3,US_STJ,6.016666666666667,-0.297104015,0.033269940320563296,1.2479780423333333,0,0.019,0.09701503533333333,120.9357639
15,4,US_LA1,6.20375,-31.1912,NA,0.2,0,0.006567397,0.13875,17.62053243
16,1,US_EDN,37.73006944666666,-1.635775,4.819416690894112,0.905,0,0.006,0.011460244333333335,137.55793935666668
16,2,US_SRR,2.28046875,-10.23786449,0,1.08632392525,0,0.009,0.3730630355,215.95331015
16,3,US_STJ,6.633333333333334,-0.32429151500000003,0.08036007165134214,1.233532275,0,0.019,0.09384537933333333,156.9260417
16,4,US_LA1,2.20625,-25.9588,NA,0.2,0,0.006567397,0.140275,17.42710358
17,1,US_EDN,37.764201390000004,3.6121624999999993,10.635783198594261,0.905,0,0.006,0.013251666333333334,218.42773549999998
17,2,US_SRR,2.2234375,-10.99089886,0,1.08785350375,0,0.009,0.37227392825,194.5900371275
17,3,US_STJ,6.233333333333333,-0.32634012633333337,0.0839083705656369,1.219086508,0,0.019,0.09067572366666667,154.6498264
17,4,US_LA1,6.67125,-19.8247,NA,0.2,0,0.006567397,0.1418,17.23367472
18,1,US_EDN,37.188090276666664,2.6225374999999995,15.992984640846238,0.905,0,0.006,0.015043087666666666,247.09859986666666
18,2,US_SRR,2.18020833325,-9.780114856,0,1.0893830825,0,0.009,0.37148482175,187.1592290725
18,3,US_STJ,5.283333333333333,-0.366288043,0.15310019188883112,1.2046407406666666,0,0.019,0.087506068,100.40190972
18,4,US_LA1,9.277916667,-18.2753,NA,0.2,0,0.006567397,0.143325,17.04024587
19,1,US_EDN,36.69517361,2.2188875,11.883332508621844,0.905,0,0.006,0.016834509333333334,214.39268323333334
19,2,US_SRR,1.9330729167499998,-10.09612578,0,1.09091266075,0,0.009,0.3706957145,252.36554102499997
19,3,US_STJ,4.35,-0.34446512633333337,0.11530179145282281,1.1901949736666666,0,0.019,0.084336412,108.65277778
19,4,US_LA1,3.837916667,-17.145,NA,0.2,0,0.006567397,0.14485,16.84681701
20,1,US_EDN,36.9234375,4.830425,2.422697502301154,0.905,0,0.006,0.018625931333333335,178.43994173333334
20,2,US_SRR,1.74895833325,-12.81090086,0,1.09244223925,0,0.009,0.36990660725,275.22007775000003
20,3,US_STJ,4.183333333333334,-0.30196512633333333,0.041689632131145515,1.1757492063333332,0,0.019,0.08116675633333334,179.0097222
20,4,US_LA1,8.785833333,-12.192,NA,0.2,0,0.006567397,0.146375,16.65338815
21,1,US_EDN,37.09628472333333,8.7523625,5.334734596271519,0.905,0,0.006,0.020417353,219.20937623333333
21,2,US_SRR,1.74713541675,-14.54951839,0,1.09397181775,0,0.009,0.3691175,222.302890275
21,3,US_STJ,5.233333333333333,-0.337086654,0.10252190248924815,1.1613034393333332,0,0.019,0.07799710033333333,116.76649307666666
21,4,US_LA1,12.58083333,-9.271,NA,0.2,0,0.006567397,0.1479,104.020886
22,1,US_EDN,37.2603125,9.429987500000001,10.916516790174247,0.905,0,0.006,0.022208775,235.77423523333334
22,2,US_SRR,1.78489583325,-9.267078514,0,1.0955013965,0,0.009,0.36721892825,206.87943751
22,3,US_STJ,7.05,-0.34156148033333333,0.11027252905362867,1.1468576716666667,0,0.019,0.07482744466666666,102.01614584333333
22,4,US_LA1,11.35458333,-6.9977,NA,0.2,0,0.006567397,0.149425,87.84324633
23,1,US_EDN,37.43927083,9.63035,8.691299286705858,0.905,0,0.006,0.024000197,238.62733413333333
23,2,US_SRR,1.77734375,-10.18227373,0,1.09347743325,0,0.009,0.36532035725,257.994733825
23,3,US_STJ,14.916666666666668,-0.3415180776666667,0.110197353429778,1.1324119046666667,0,0.019,0.071657789,57.873090276666666
23,4,US_LA1,13.70666667,-4.9022,NA,0.2,0,0.006567397,0.15095,134.7993788
24,1,US_EDN,37.7084375,6.062825,3.0983035173754767,0.905,0,0.006,0.025791618666666665,225.98331347333334
24,2,US_SRR,1.7395833332500001,-10.41147793,0,1.09145347025,0,0.009,0.3634217855,235.64765074
24,3,US_STJ,12.75,-0.12422207066666668,0.2661703709760644,1.107447619,0,0.019,0.06848813299999999,85.02632576666666
24,4,US_LA1,10.30833333,-7.3787,NA,0.2,0,0.006567397,0.152475,47.48745083
25,1,US_EDN,38.00211805666667,2.4909125000000003,3.525337669132739,0.905,0,0.006,0.027583040333333333,278.3412487
25,2,US_SRR,1.74218749975,-8.711221578,0,1.089429507,0,0.009,0.3615232145,264.79720557499996
25,3,US_STJ,7.933333333333334,-0.20619255666666667,0.12419332450295105,1.1301756410000001,0,0.019,0.06531847733333333,124.23200758666667
25,4,US_LA1,7.171666667,-6.1087,NA,0.2,0,0.006567397,0.154,117.2667898
26,1,US_EDN,38.19555555666667,4.8650375,5.148593552430119,0.905,0,0.006,0.029374461999999997,217.91732883333333
26,2,US_SRR,1.75286458325,-10.75926225,0,1.08740554375,0,0.009,0.35962464275,304.882075525
26,3,US_STJ,6.016666666666667,-0.32531408466666667,0.08213121426828755,1.152903663,0,0.019,0.06541435533333334,212.50104166666665
26,4,US_LA1,13.73208333,0.2413,NA,0.2,0,0.006567397,0.155525,113.4883691
27,1,US_EDN,38.29244953333333,2.5201625,4.950791914920657,0.905,0,0.006,0.031165883666666665,174.85515161
27,2,US_SRR,1.76171874975,-12.09860939,0,1.08538158075,0,0.009,0.35772607175000004,260.7753383
27,3,US_STJ,5.65,-0.3565960786666667,0.13631321723835235,1.1783102563333334,0,0.019,0.06864248033333334,124.05833332333333
27,4,US_LA1,10.34791667,-8.0772,NA,0.2,0,0.006567397,0.15705,157.4607726
28,1,US_EDN,38.36609940333333,-1.1619250000000003,7.085254242714671,0.905,0,0.006,0.032957305666666666,172.20903573333334
28,2,US_SRR,1.7872395835,-12.35391136,0,1.082321822,0,0.009,0.35582749999999996,279.59918585
28,3,US_STJ,3.4333333333333336,-0.395272108,0.20330206507870993,1.2037168500000002,0,0.019,0.07187060533333334,146.19149306666665
28,4,US_LA1,8.85,-16.4084,NA,0.2,0,0.006567397,0.158575,144.4145985
29,1,US_EDN,38.41961038666667,0.12263749999999973,9.42907190833223,0.905,0,0.006,0.034748727666666666,261.14008076666664
29,2,US_SRR,1.7658854165,-7.048667618,0,1.0792620635,0,0.009,0.35392892825,229.9120869
29,3,US_STJ,4.983333333333333,-0.3994889976666667,0.2106059322312888,1.229123443,0,0.019,0.07509873033333334,184.42395833333333
29,4,US_LA1,8.499583333,-26.0985,NA,0.2,0,0.006567397,0.1601,151.0818925
30,1,US_EDN,38.46305192333333,-0.25663749999999885,12.394812811313448,0.905,0,0.006,0.036540149333333334,243.5447292
30,2,US_SRR,1.8286458335,-0.681878514,0,1.07620230475,0,0.009,0.35203035725,296.034855
30,3,US_STJ,4.3,-0.355350543,0.1341558861810465,1.2545300363333334,0,0.019,0.07832685533333333,146.6779514
30,4,US_LA1,6.97,-29.5656,NA,0.2,0,0.006567397,0.161625,111.7108194
31,1,US_EDN,38.50145873666666,-1.7620375000000004,8.25386062843284,0.905,0,0.006,0.038331571333333335,261.6905045666667
31,2,US_SRR,1.85182291675,0.297218201,0,1.0731425462500002,0,0.009,0.3501317855,259.35824460000003
31,3,US_STJ,4.466666666666667,-0.34552415400000003,0.11713608117811057,1.27993663,0,0.019,0.08155498033333333,179.13402776666666
31,4,US_LA1,4.111666667,-23.5585,NA,0.2,0,0.006567397,0.16315,109.5119015
32,1,US_EDN,38.51694888666667,-3.7841875000000003,5.853670515675934,0.905,0,0.006,0.040122992999999996,230.73599522333333
32,2,US_SRR,1.9013020835,-0.361205463,0,1.07008278775,0,0.009,0.3482332145,236.277706225
32,3,US_STJ,6.116666666666666,-0.33903109833333334,0.10588977886707088,1.3053432236666667,0,0.019,0.08478310533333333,222.20624999999998
32,4,US_LA1,4.852916667,-17.653,NA,0.2,0,0.006567397,0.164675,73.32215831
33,1,US_EDN,38.50216126,-5.1092125,5.37973668952243,0.905,0,0.006,0.04191441433333333,243.0348629
33,2,US_SRR,1.87890625,-2.332625138,0,1.06702302925,0,0.009,0.34633464275000003,259.877561575
33,3,US_STJ,5.216666666666667,-0.335819293,0.10032676884571688,1.330749817,0,0.019,0.08801123033333333,125.59184026666667
33,4,US_LA1,6.674166667,-13.335,NA,0.2,0,0.006567397,0.1662,92.88670627
34,1,US_EDN,38.44296390666666,3.481025,3.6873714668065043,0.905,0,0.006,0.04370583633333333,266.6823930333333
34,2,US_SRR,1.90390625,-5.846853131,0,1.0639632705,0,0.009,0.34443607175,308.7206183
34,3,US_STJ,4.533333333333333,-0.36015957066666665,0.14248536643471757,1.3561564103333335,0,0.019,0.09255527333333334,138.67847222333333
34,4,US_LA1,4.982916667,-10.1346,NA,0.2,0,0.006567397,0.16535625,103.1302396
35,1,US_EDN,38.396926273333335,8.4891125,2.91101039546409,0.905,0,0.006,0.04549725833333333,272.42583766666667
35,2,US_SRR,1.9382812500000002,-8.691356875,0,1.0609035117499999,0,0.009,0.34253750000000005,256.820648725
35,3,US_STJ,2.9,-0.364256793,0.14958196368595683,1.381563004,0,0.019,0.09836152333333334,158.47361110999998
35,4,US_LA1,6.015416667,-7.5692,NA,0.2,0,0.006567397,0.1645125,75.26636302
36,1,US_EDN,38.41342336666666,12.2604125,4.655758435260576,0.905,0,0.006,0.04514451333333333,334.8745199333333
36,2,US_SRR,1.93020833325,-10.73483677,0,1.0635553275,0,0.009,0.34098232175,277.916014675
36,3,US_STJ,2.6999999999999997,-0.366444293,0.1533708248275137,1.406969597,0,0.019,0.10416777333333334,186.75486111
36,4,US_LA1,4.914583333,-11.1252,NA,0.2,0,0.006567397,0.16366875,88.82097071
